A_re,0.218798378736,0.256993460189,0.288554543613,0.315094027559,0.337470330730,0.356194365376,0.371595025558,0.383898080283,0.393268067911,0.399832362656,0.403695846105,0.404950268658,0.403680434026,0.399968390087,0.393896316072,0.385548525726,0.375012851039,0.362381578834,0.347752055599,0.331227039968,0.312914858788,0.292929407215,0.271390022739,0.248421255798,0.224152554561,0.198717877912,0.172255248041,0.144906252223,0.116815501995,0.088130056882,0.058998819133,0.029571905293
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.218798378736,-0.256993460189,-0.288554543613,-0.315094027559,-0.337470330730,-0.356194365376,-0.371595025558,-0.383898080283,-0.393268067911,-0.399832362656,-0.403695846105,-0.404950268658,-0.403680434026,-0.399968390087,-0.393896316072,-0.385548525726,-0.375012851039,-0.362381578834,-0.347752055599,-0.331227039968,-0.312914858788,-0.292929407215,-0.271390022739,-0.248421255798,-0.224152554561,-0.198717877912,-0.172255248041,-0.144906252223,-0.116815501995,-0.088130056882,-0.058998819133,-0.029571905293
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.997563567535
