A_re,0.078304884816,0.092565248234,0.104828661497,0.115712279700,0.125557677535,0.134576585417,0.142910439053,0.150658880746,0.157894961410,0.164673920010,0.171038573239,0.177022788769,0.182653813785,0.187953888256,0.192941394147,0.197631693779,0.202037754159,0.206170620391,0.210039780415,0.213653450020,0.217018798395,0.220142128671,0.223029023924,0.225684466357,0.228112935412,0.230318489168,0.232304832350,0.234075373518,0.235633273446,0.236981486265,0.238122794635,0.239059839934,0.239795148285,0.240331153081,0.240670214529,0.240814636671,0.240766682239,0.240528585639,0.240102564340,0.239490828855,0.238695591504,0.237719074123,0.236563514820,0.235231173915,0.233724339143,0.232045330211,0.230196502765,0.228180251848,0.225999014879,0.223655274223,0.221151559371,0.218490448777,0.215674571386,0.212706607866,0.209589291586,0.206325409351,0.202917801915,0.199369364286,0.195683045856,0.191861850340,0.187908835563,0.183827113097,0.179619847751,0.175290256939,0.170841609916,0.166277226910,0.161600478139,0.156814782728,0.151923607542,0.146930465913,0.141838916300,0.136652560862,0.131375043956,0.126010050576,0.120561304713,0.115032567665,0.109427636283,0.103750341164,0.098004544799,0.092194139663,0.086323046268,0.080395211175,0.074414604963,0.068385220162,0.062311069160,0.056196182068,0.050044604566,0.043860395721,0.037647625776,0.031410373926,0.025152726068,0.018878772541,0.012592605845,0.006298318351
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.078304884816,-0.092565248234,-0.104828661497,-0.115712279700,-0.125557677535,-0.134576585417,-0.142910439053,-0.150658880746,-0.157894961410,-0.164673920010,-0.171038573239,-0.177022788769,-0.182653813785,-0.187953888256,-0.192941394147,-0.197631693779,-0.202037754159,-0.206170620391,-0.210039780415,-0.213653450020,-0.217018798395,-0.220142128671,-0.223029023924,-0.225684466357,-0.228112935412,-0.230318489168,-0.232304832350,-0.234075373518,-0.235633273446,-0.236981486265,-0.238122794635,-0.239059839934,-0.239795148285,-0.240331153081,-0.240670214529,-0.240814636671,-0.240766682239,-0.240528585639,-0.240102564340,-0.239490828855,-0.238695591504,-0.237719074123,-0.236563514820,-0.235231173915,-0.233724339143,-0.232045330211,-0.230196502765,-0.228180251848,-0.225999014879,-0.223655274223,-0.221151559371,-0.218490448777,-0.215674571386,-0.212706607866,-0.209589291586,-0.206325409351,-0.202917801915,-0.199369364286,-0.195683045856,-0.191861850340,-0.187908835563,-0.183827113097,-0.179619847751,-0.175290256939,-0.170841609916,-0.166277226910,-0.161600478139,-0.156814782728,-0.151923607542,-0.146930465913,-0.141838916300,-0.136652560862,-0.131375043956,-0.126010050576,-0.120561304713,-0.115032567665,-0.109427636283,-0.103750341164,-0.098004544799,-0.092194139663,-0.086323046268,-0.080395211175,-0.074414604963,-0.068385220162,-0.062311069160,-0.056196182068,-0.050044604566,-0.043860395721,-0.037647625776,-0.031410373926,-0.025152726068,-0.018878772541,-0.012592605845,-0.006298318351
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.999689370458
