A_re,0.062888674729,0.074383837594,0.084302463139,0.093143400845,0.101183897912,0.108596674231,0.115497780839,0.121969516797,0.128072659234,0.133853530622,0.139348340139,0.144585983267,0.149589920046,0.154379477338,0.158970777221,0.163377414782,0.167610963296,0.171681357603,0.175597189734,0.179365940122,0.182994160757,0.186487621923,0.189851430999,0.193090129545,0.196207773327,0.199207998803,0.202094078767,0.204868969224,0.207535349137,0.210095654308,0.212552106433,0.214906738129,0.217161414597,0.219317852461,0.221377636216,0.223342232634,0.225213003450,0.226991216544,0.228678055860,0.230274630199,0.231781981068,0.233201089678,0.234532883222,0.235778240503,0.236937997006,0.238012949466,0.239003859998,0.239911459839,0.240736452741,0.241479518055,0.242141313535,0.242722477902,0.243223633173,0.243645386805,0.243988333644,0.244253057719,0.244440133887,0.244550129339,0.244583604991,0.244541116758,0.244423216728,0.244230454248,0.243963376914,0.243622531496,0.243208464785,0.242721724370,0.242162859362,0.241532421061,0.240830963562,0.240059044327,0.239217224701,0.238306070392,0.237326151914,0.236278044985,0.235162330907,0.233979596900,0.232730436415,0.231415449419,0.230035242648,0.228590429850,0.227081631987,0.225509477432,0.223874602136,0.222177649782,0.220419271915,0.218600128063,0.216720885834,0.214782221004,0.212784817590,0.210729367905,0.208616572603,0.206447140715,0.204221789668,0.201941245295,0.199606241836,0.197217521923,0.194775836568,0.192281945124,0.189736615255,0.187140622884,0.184494752138,0.181799795291,0.179056552687,0.176265832670,0.173428451494,0.170545233235,0.167617009696,0.164644620302,0.161628911993,0.158570739108,0.155470963266,0.152330453244,0.149150084845,0.145930740762,0.142673310443,0.139378689943,0.136047781782,0.132681494786,0.129280743939,0.125846450215,0.122379540424,0.118880947036,0.115351608019,0.111792466658,0.108204471385,0.104588575596,0.100945737469,0.097276919780,0.093583089712,0.089865218668,0.086124282078,0.082361259200,0.078577132928,0.074772889588,0.070949518738,0.067108012966,0.063249367682,0.059374580913,0.055484653094,0.051580586855,0.047663386813,0.043734059358,0.039793612436,0.035843055338,0.031883398477,0.027915653176,0.023940831447,0.019959945769,0.015974008874,0.011984033517,0.007991032261,0.003996017253
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.062888674729,-0.074383837594,-0.084302463139,-0.093143400845,-0.101183897912,-0.108596674231,-0.115497780839,-0.121969516797,-0.128072659234,-0.133853530622,-0.139348340139,-0.144585983267,-0.149589920046,-0.154379477338,-0.158970777221,-0.163377414782,-0.167610963296,-0.171681357603,-0.175597189734,-0.179365940122,-0.182994160757,-0.186487621923,-0.189851430999,-0.193090129545,-0.196207773327,-0.199207998803,-0.202094078767,-0.204868969224,-0.207535349137,-0.210095654308,-0.212552106433,-0.214906738129,-0.217161414597,-0.219317852461,-0.221377636216,-0.223342232634,-0.225213003450,-0.226991216544,-0.228678055860,-0.230274630199,-0.231781981068,-0.233201089678,-0.234532883222,-0.235778240503,-0.236937997006,-0.238012949466,-0.239003859998,-0.239911459839,-0.240736452741,-0.241479518055,-0.242141313535,-0.242722477902,-0.243223633173,-0.243645386805,-0.243988333644,-0.244253057719,-0.244440133887,-0.244550129339,-0.244583604991,-0.244541116758,-0.244423216728,-0.244230454248,-0.243963376914,-0.243622531496,-0.243208464785,-0.242721724370,-0.242162859362,-0.241532421061,-0.240830963562,-0.240059044327,-0.239217224701,-0.238306070392,-0.237326151914,-0.236278044985,-0.235162330907,-0.233979596900,-0.232730436415,-0.231415449419,-0.230035242648,-0.228590429850,-0.227081631987,-0.225509477432,-0.223874602136,-0.222177649782,-0.220419271915,-0.218600128063,-0.216720885834,-0.214782221004,-0.212784817590,-0.210729367905,-0.208616572603,-0.206447140715,-0.204221789668,-0.201941245295,-0.199606241836,-0.197217521923,-0.194775836568,-0.192281945124,-0.189736615255,-0.187140622884,-0.184494752138,-0.181799795291,-0.179056552687,-0.176265832670,-0.173428451494,-0.170545233235,-0.167617009696,-0.164644620302,-0.161628911993,-0.158570739108,-0.155470963266,-0.152330453244,-0.149150084845,-0.145930740762,-0.142673310443,-0.139378689943,-0.136047781782,-0.132681494786,-0.129280743939,-0.125846450215,-0.122379540424,-0.118880947036,-0.115351608019,-0.111792466658,-0.108204471385,-0.104588575596,-0.100945737469,-0.097276919780,-0.093583089712,-0.089865218668,-0.086124282078,-0.082361259200,-0.078577132928,-0.074772889588,-0.070949518738,-0.067108012966,-0.063249367682,-0.059374580913,-0.055484653094,-0.051580586855,-0.047663386813,-0.043734059358,-0.039793612436,-0.035843055338,-0.031883398477,-0.027915653176,-0.023940831447,-0.019959945769,-0.015974008874,-0.011984033517,-0.007991032261,-0.003996017253
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999878844624
