A_re,0.092972407620,0.109919022310,0.124504359870,0.137462310382,0.149199461972,0.159968145801,0.169937151437,0.179225576121,0.187920881574,0.196089323540,0.203782355405,0.211040755481,0.217897394463,0.224379153110,0.230508288536,0.236303431094,0.241780326900,0.246952400970,0.251831191167,0.256426687370,0.260747599940,0.264801574670,0.268595366662,0.272134982308,0.275425796221,0.278472648288,0.281279924803,0.283851626741,0.286191427562,0.288302722415,0.290188670248,0.291852230012,0.293296191920,0.294523204552,0.295535798439,0.296336406652,0.296927382832,0.297311017019,0.297489549591,0.297465183550,0.297240095384,0.296816444675,0.296196382616,0.295382059559,0.294375631712,0.293179267080,0.291795150739,0.290225489499,0.288472516042,0.286538492571,0.284425714027,0.282136510913,0.279673251759,0.277038345274,0.274234242190,0.271263436847,0.268128468531,0.264831922579,0.261376431285,0.257764674608,0.253999380705,0.250083326299,0.246019336895,0.241810286854,0.237459099333,0.232968746107,0.228342247270,0.223582670827,0.218693132191,0.213676793583,0.208536863337,0.203276595125,0.197899287106,0.192408280995,0.186806961062,0.181098753067,0.175287123131,0.169375576546,0.163367656532,0.157266942936,0.151077050888,0.144801629401,0.138444359935,0.132008954910,0.125499156187,0.118918733507,0.112271482895,0.105561225032,0.098791803596,0.091967083572,0.085090949535,0.078167303912,0.071200065213,0.064193166247,0.057150552314,0.050076179378,0.042974012228,0.035848022618,0.028702187398,0.021540486630,0.014366901692,0.007185413382
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.092972407620,-0.109919022310,-0.124504359870,-0.137462310382,-0.149199461972,-0.159968145801,-0.169937151437,-0.179225576121,-0.187920881574,-0.196089323540,-0.203782355405,-0.211040755481,-0.217897394463,-0.224379153110,-0.230508288536,-0.236303431094,-0.241780326900,-0.246952400970,-0.251831191167,-0.256426687370,-0.260747599940,-0.264801574670,-0.268595366662,-0.272134982308,-0.275425796221,-0.278472648288,-0.281279924803,-0.283851626741,-0.286191427562,-0.288302722415,-0.290188670248,-0.291852230012,-0.293296191920,-0.294523204552,-0.295535798439,-0.296336406652,-0.296927382832,-0.297311017019,-0.297489549591,-0.297465183550,-0.297240095384,-0.296816444675,-0.296196382616,-0.295382059559,-0.294375631712,-0.293179267080,-0.291795150739,-0.290225489499,-0.288472516042,-0.286538492571,-0.284425714027,-0.282136510913,-0.279673251759,-0.277038345274,-0.274234242190,-0.271263436847,-0.268128468531,-0.264831922579,-0.261376431285,-0.257764674608,-0.253999380705,-0.250083326299,-0.246019336895,-0.241810286854,-0.237459099333,-0.232968746107,-0.228342247270,-0.223582670827,-0.218693132191,-0.213676793583,-0.208536863337,-0.203276595125,-0.197899287106,-0.192408280995,-0.186806961062,-0.181098753067,-0.175287123131,-0.169375576546,-0.163367656532,-0.157266942936,-0.151077050888,-0.144801629401,-0.138444359935,-0.132008954910,-0.125499156187,-0.118918733507,-0.112271482895,-0.105561225032,-0.098791803596,-0.091967083572,-0.085090949535,-0.078167303912,-0.071200065213,-0.064193166247,-0.057150552314,-0.050076179378,-0.042974012228,-0.035848022618,-0.028702187398,-0.021540486630,-0.014366901692,-0.007185413382
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999735124857
