A_re,0.084119872162,0.099467235575,0.112687404139,0.124445471365,0.135110298625,0.144911093601,0.154001403355,0.162489749581,0.170455973103,0.177960675819,0.185051018852,0.191764460230,0.198131261544,0.204176225227,0.209919932543,0.215379647036,0.220569987587,0.225503438974,0.230190745382,0.234641218032,0.238862978743,0.242863154983,0.246648037697,0.250223210215,0.253593654456,0.256763839111,0.259737793389,0.262519169112,0.265111293314,0.267517213054,0.269739733791,0.271781452418,0.273644785814,0.275331995640,0.276845209948,0.278186442079,0.279357607259,0.280360537207,0.281196993028,0.281868676634,0.282377240878,0.282724298561,0.282911430463,0.282940192512,0.282812122186,0.282528744250,0.282091575894,0.281502131337,0.280761925963,0.279872480027,0.278835321986,0.277651991480,0.276324042013,0.274853043346,0.273240583637,0.271488271358,0.269597736990,0.267570634532,0.265408642836,0.263113466772,0.260686838255,0.258130517122,0.255446291896,0.252635980419,0.249701430389,0.246644519783,0.243467157198,0.240171282098,0.236758864972,0.233231907435,0.229592442231,0.225842533192,0.221984275121,0.218019793612,0.213951244827,0.209780815209,0.205510721145,0.201143208588,0.196680552632,0.192125057037,0.187479053723,0.182744902226,0.177924989107,0.173021727337,0.168037555648,0.162974937848,0.157836362109,0.152624340229,0.147341406865,0.141990118739,0.136573053826,0.131092810513,0.125552006738,0.119953279111,0.114299282010,0.108592686667,0.102836180228,0.097032464803,0.091184256494,0.085294284416,0.079365289698,0.073400024475,0.067401250866,0.061371739940,0.055314270676,0.049231628910,0.043126606270,0.037001999112,0.030860607441,0.024705233825,0.018538682312,0.012363757331,0.006183262595
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.084119872162,-0.099467235575,-0.112687404139,-0.124445471365,-0.135110298625,-0.144911093601,-0.154001403355,-0.162489749581,-0.170455973103,-0.177960675819,-0.185051018852,-0.191764460230,-0.198131261544,-0.204176225227,-0.209919932543,-0.215379647036,-0.220569987587,-0.225503438974,-0.230190745382,-0.234641218032,-0.238862978743,-0.242863154983,-0.246648037697,-0.250223210215,-0.253593654456,-0.256763839111,-0.259737793389,-0.262519169112,-0.265111293314,-0.267517213054,-0.269739733791,-0.271781452418,-0.273644785814,-0.275331995640,-0.276845209948,-0.278186442079,-0.279357607259,-0.280360537207,-0.281196993028,-0.281868676634,-0.282377240878,-0.282724298561,-0.282911430463,-0.282940192512,-0.282812122186,-0.282528744250,-0.282091575894,-0.281502131337,-0.280761925963,-0.279872480027,-0.278835321986,-0.277651991480,-0.276324042013,-0.274853043346,-0.273240583637,-0.271488271358,-0.269597736990,-0.267570634532,-0.265408642836,-0.263113466772,-0.260686838255,-0.258130517122,-0.255446291896,-0.252635980419,-0.249701430389,-0.246644519783,-0.243467157198,-0.240171282098,-0.236758864972,-0.233231907435,-0.229592442231,-0.225842533192,-0.221984275121,-0.218019793612,-0.213951244827,-0.209780815209,-0.205510721145,-0.201143208588,-0.196680552632,-0.192125057037,-0.187479053723,-0.182744902226,-0.177924989107,-0.173021727337,-0.168037555648,-0.162974937848,-0.157836362109,-0.152624340229,-0.147341406865,-0.141990118739,-0.136573053826,-0.131092810513,-0.125552006738,-0.119953279111,-0.114299282010,-0.108592686667,-0.102836180228,-0.097032464803,-0.091184256494,-0.085294284416,-0.079365289698,-0.073400024475,-0.067401250866,-0.061371739940,-0.055314270676,-0.049231628910,-0.043126606270,-0.037001999112,-0.030860607441,-0.024705233825,-0.018538682312,-0.012363757331,-0.006183262595
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
# constraint,power
# norm_sq,10.178760197631
# dEdt,1.000000000000
# lambda_max,0.999783187145
