A_re,0.086356258820,0.102062280330,0.115552755778,0.127506757286,0.138299583281,0.148163465181,0.157253224642,0.165677692935,0.173516466395,0.180829581111,0.187663450981,0.194054693532,0.200032694260,0.205621382867,0.210840498269,0.215706511201,0.220233311118,0.224432726905,0.228314927947,0.231888737415,0.235161880117,0.238141180781,0.240832724340,0.243241986672,0.245373942156,0.247233152807,0.248823842676,0.250149960307,0.251215231495,0.252023204049,0.252577285953,0.252880778033,0.252936902001,0.252748824621,0.252319678564,0.251652580452,0.250750646484,0.249617005977,0.248254813107,0.246667257072,0.244857570885,0.242829038951,0.240585003590,0.238128870602,0.235464113998,0.232594279983,0.229522990255,0.226253944708,0.222790923582,0.219137789117,0.215298486759,0.211277045949,0.207077580541,0.202704288872,0.198161453514,0.193453440734,0.188584699686,0.183559761346,0.178383237223,0.173059817845,0.167594271054,0.161991440107,0.156256241600,0.150393663240,0.144408761452,0.138306658853,0.132092541587,0.125771656538,0.119349308428,0.112830856805,0.106221712928,0.099527336561,0.092753232678,0.085904948085,0.078988067967,0.072008212371,0.064971032612,0.057882207634,0.050747440311,0.043572453696,0.036362987236,0.029124792938,0.021863631506,0.014585268450,0.007295470168
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.086356258820,-0.102062280330,-0.115552755778,-0.127506757286,-0.138299583281,-0.148163465181,-0.157253224642,-0.165677692935,-0.173516466395,-0.180829581111,-0.187663450981,-0.194054693532,-0.200032694260,-0.205621382867,-0.210840498269,-0.215706511201,-0.220233311118,-0.224432726905,-0.228314927947,-0.231888737415,-0.235161880117,-0.238141180781,-0.240832724340,-0.243241986672,-0.245373942156,-0.247233152807,-0.248823842676,-0.250149960307,-0.251215231495,-0.252023204049,-0.252577285953,-0.252880778033,-0.252936902001,-0.252748824621,-0.252319678564,-0.251652580452,-0.250750646484,-0.249617005977,-0.248254813107,-0.246667257072,-0.244857570885,-0.242829038951,-0.240585003590,-0.238128870602,-0.235464113998,-0.232594279983,-0.229522990255,-0.226253944708,-0.222790923582,-0.219137789117,-0.215298486759,-0.211277045949,-0.207077580541,-0.202704288872,-0.198161453514,-0.193453440734,-0.188584699686,-0.183559761346,-0.178383237223,-0.173059817845,-0.167594271054,-0.161991440107,-0.156256241600,-0.150393663240,-0.144408761452,-0.138306658853,-0.132092541587,-0.125771656538,-0.119349308428,-0.112830856805,-0.106221712928,-0.099527336561,-0.092753232678,-0.085904948085,-0.078988067967,-0.072008212371,-0.064971032612,-0.057882207634,-0.050747440311,-0.043572453696,-0.036362987236,-0.029124792938,-0.021863631506,-0.014585268450,-0.007295470168
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.999622153033
