A_re,0.146670482006,0.172974507702,0.195277037614,0.214704634418,0.231870886528,0.247149140043,0.260783769990,0.272943347118,0.283748945244,0.293290458416,0.301636598049,0.308841321567,0.314948132044,0.319993048881,0.324006716820,0.327015937880,0.329044805791,0.330115559775,0.330249235758,0.329466168439,0.327786381549,0.325229892877,0.321816953311,0.317568234046,0.312504972528,0.306649085100,0.300023252476,0.292650982770,0.284556655783,0.275765551477,0.266303865007,0.256198710171,0.245478112881,0.234170995882,0.222307155842,0.209917233677,0.197032678908,0.183685708706,0.169909262206,0.155736950610,0.141203003530,0.126342211992,0.111189868467,0.095781704289,0.080153824773,0.064342642326,0.048384807860,0.032317140743,0.016176557574
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.146670482006,-0.172974507702,-0.195277037614,-0.214704634418,-0.231870886528,-0.247149140043,-0.260783769990,-0.272943347118,-0.283748945244,-0.293290458416,-0.301636598049,-0.308841321567,-0.314948132044,-0.319993048881,-0.324006716820,-0.327015937880,-0.329044805791,-0.330115559775,-0.330249235758,-0.329466168439,-0.327786381549,-0.325229892877,-0.321816953311,-0.317568234046,-0.312504972528,-0.306649085100,-0.300023252476,-0.292650982770,-0.284556655783,-0.275765551477,-0.266303865007,-0.256198710171,-0.245478112881,-0.234170995882,-0.222307155842,-0.209917233677,-0.197032678908,-0.183685708706,-0.169909262206,-0.155736950610,-0.141203003530,-0.126342211992,-0.111189868467,-0.095781704289,-0.080153824773,-0.064342642326,-0.048384807860,-0.032317140743,-0.016176557574
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.998908344620
