A_re,0.232227479853,0.272511218651,0.305592221073,0.333166562302,0.356133379646,0.375026237599,0.390188673772,0.401857843037,0.410208901415,0.415380470919,0.417490129893,0.416644260001,0.412944510804,0.406492135787,0.397390930940,0.385749220598,0.371681171232,0.355307616220,0.336756514569,0.316163128561,0.293669980675,0.269426633768,0.243589327541,0.216320496683,0.187788190877,0.158165413092,0.127629389940,0.096360785961,0.064542872274,0.032360658991
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.232227479853,-0.272511218651,-0.305592221073,-0.333166562302,-0.356133379646,-0.375026237599,-0.390188673772,-0.401857843037,-0.410208901415,-0.415380470919,-0.417490129893,-0.416644260001,-0.412944510804,-0.406492135787,-0.397390930940,-0.385749220598,-0.371681171232,-0.355307616220,-0.336756514569,-0.316163128561,-0.293669980675,-0.269426633768,-0.243589327541,-0.216320496683,-0.187788190877,-0.158165413092,-0.127629389940,-0.096360785961,-0.064542872274,-0.032360658991
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.997253463214
