A_re,0.092711154198,0.109553978176,0.124005992124,0.136794829578,0.148322130188,0.158836059982,0.168501786491,0.177435199034,0.185720888503,0.193422527335,0.200589239374,0.207259703192,0.213464901924,0.219230027650,0.224575837398,0.229519641916,0.234076041673,0.238257484660,0.242074695897,0.245537012839,0.248652650600,0.251428914062,0.253872369200,0.255988982751,0.257784236989,0.259263224746,0.260430728594,0.261291287218,0.261849251338,0.262108831041,0.262074135996,0.261749209735,0.261138058957,0.260244678610,0.259073073401,0.257627276243,0.255911364067,0.253929471362,0.251685801728,0.249184637711,0.246430349112,0.243427399963,0.240180354314,0.236693880968,0.232972757267,0.229021872044,0.224846227800,0.220450942199,0.215841248935,0.211022498038,0.206000155648,0.200779803323,0.195367136908,0.189767965004,0.183988207059,0.178033891127,0.171911151304,0.165626224869,0.159185449156,0.152595258173,0.145862178977,0.138992827845,0.131993906222,0.124872196499,0.117634557599,0.110287920409,0.102839283057,0.095295706046,0.087664307267,0.079952256880,0.072166772096,0.064315111856,0.056404571413,0.048442476844,0.040436179472,0.032393050240,0.024320474013,0.016225843837,0.008116555158
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.092711154198,-0.109553978176,-0.124005992124,-0.136794829578,-0.148322130188,-0.158836059982,-0.168501786491,-0.177435199034,-0.185720888503,-0.193422527335,-0.200589239374,-0.207259703192,-0.213464901924,-0.219230027650,-0.224575837398,-0.229519641916,-0.234076041673,-0.238257484660,-0.242074695897,-0.245537012839,-0.248652650600,-0.251428914062,-0.253872369200,-0.255988982751,-0.257784236989,-0.259263224746,-0.260430728594,-0.261291287218,-0.261849251338,-0.262108831041,-0.262074135996,-0.261749209735,-0.261138058957,-0.260244678610,-0.259073073401,-0.257627276243,-0.255911364067,-0.253929471362,-0.251685801728,-0.249184637711,-0.246430349112,-0.243427399963,-0.240180354314,-0.236693880968,-0.232972757267,-0.229021872044,-0.224846227800,-0.220450942199,-0.215841248935,-0.211022498038,-0.206000155648,-0.200779803323,-0.195367136908,-0.189767965004,-0.183988207059,-0.178033891127,-0.171911151304,-0.165626224869,-0.159185449156,-0.152595258173,-0.145862178977,-0.138992827845,-0.131993906222,-0.124872196499,-0.117634557599,-0.110287920409,-0.102839283057,-0.095295706046,-0.087664307267,-0.079952256880,-0.072166772096,-0.064315111856,-0.056404571413,-0.048442476844,-0.040436179472,-0.032393050240,-0.024320474013,-0.016225843837,-0.008116555158
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.999564441404
