A_re,0.429830122963,0.494012289757,0.538498259728,0.566046726499,0.578166729463,0.575914623680,0.560212035505,0.531990496918,0.492260450157,0.442142268062,0.382875902912,0.315817348613,0.242426373390,0.164248203041,0.082890936656
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.429830122963,-0.494012289757,-0.538498259728,-0.566046726499,-0.578166729463,-0.575914623680,-0.560212035505,-0.531990496918,-0.492260450157,-0.442142268062,-0.382875902912,-0.315817348613,-0.242426373390,-0.164248203041,-0.082890936656
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.990450851993
