A_re,0.710064264815,0.771920941671,0.776997191980,0.731559650009,0.641776426918,0.514830568540,0.359127392794,0.184128926536
A_im,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.710064264815,-0.771920941671,-0.776997191980,-0.731559650009,-0.641776426918,-0.514830568540,-0.359127392794,-0.184128926536
M,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.972926395771
